UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
108786,1,Test,Brooklyn,NY,US,11234,Master's,,2011-12-01 00:00:00,5,5.0,Yes,No,0
111777,1,Train,South Amboy,NJ,US,08879,Bachelor's,History,,9,14.0,No,No,0
112778,1,Train,Colorado Springs,CO,US,80910,High School,Not Applicable,2002-01-01 00:00:00,5,6.0,Yes,No,0
113256,1,Train,Agoura Hills,CA,US,91301,Associate's,Geology,1986-01-01 00:00:00,4,13.0,Yes,Yes,50
113584,1,Train,Kannapolis,NC,US,28081,Master's,,,6,26.0,Yes,Yes,15
114667,1,Test,Grosse Ile,MI,US,48138,Master's,Quality,2004-01-01 00:00:00,2,10.0,Yes,No,0
115079,1,Test,Tampa,FL,US,33619,Bachelor's,Psychology,2012-11-01 00:00:00,6,19.0,No,No,0
115981,1,Train,Casselberry,FL,US,32707,Master's,,1997-04-01 00:00:00,6,17.0,No,No,0
119546,1,Test,Long Beach,NY,US,11561,Master's,Management,,5,15.0,Yes,No,0
121117,1,Train,New York,NY,US,10001,Bachelor's,,2001-01-01 00:00:00,7,11.0,Yes,Yes,1000
121452,1,Train,Orlando,FL,US,32801,,,,5,6.0,Yes,No,0
122074,1,Test,Palm Coast,FL,US,32164,Master's,,1999-01-01 00:00:00,10,13.0,Yes,No,0
123344,1,Train,Chicago,IL,US,60639,,"Computer/Information Technology Services Administration andManagement, Other",,3,15.0,No,No,0
124467,1,Train,New York,NY,US,10027,High School,,1991-06-01 00:00:00,5,7.0,Yes,No,0
125210,1,Train,Los Angeles,CA,US,90004,Associate's,Information Technology,,7,27.0,Yes,No,0
125893,1,Train,Norfolk,VA,US,23502,,,,3,11.0,No,No,0
126315,1,Train,Philadelphia,PA,US,19131,Master's,International Marketing,1999-05-01 00:00:00,2,13.0,Yes,No,0
127366,1,Train,Chicago,IL,US,60661,,Organizational Leadership,2012-01-01 00:00:00,5,9.0,,No,0
128045,1,Test,Desoto,TX,US,75115,,Microsoft System Engineer (MCSE) Training,2006-01-01 00:00:00,5,13.0,No,No,0
131328,1,Train,The Colony,TX,US,75056,,,,0,,,No,0
133806,1,Train,Ponte Vedra Beach,FL,US,32082,Bachelor's,Business Administration Finance and Accounting,,8,35.0,No,Yes,12
136198,1,Train,Phoenix,AZ,US,85032,High School,High School Diploma,1999-05-01 00:00:00,4,13.0,Yes,Yes,10
140878,1,Test,Phoenix,AZ,US,85032,Associate's,Computer Information Systems,2004-01-01 00:00:00,7,12.0,Yes,No,0
141576,1,Train,Winter Garden,FL,US,34787,,,,3,16.0,Yes,No,0
141657,1,Train,Charlotte,NC,US,28213,Bachelor's,"Business Administration and Management, General",2004-01-01 00:00:00,6,7.0,Yes,No,0
142184,1,Train,Bristol,FL,US,32321,,,,0,,Yes,Yes,10
147301,1,Test,Lebanon,OH,US,45036,High School,Computer Sciences,,7,21.0,Yes,Yes,5
147457,1,Train,Louisville,KY,US,40218,Master's,Theology /Pastoral Ministry,2010-12-01 00:00:00,10,13.0,Yes,No,0
149064,1,Train,Irving,TX,US,75060,,,,10,10.0,Yes,No,0
149641,1,Train,Houston,TX,US,77037,High School,Co - op On the Students Working Job Training Program,1991-01-01 00:00:00,7,8.0,Yes,Yes,15
151207,1,Train,Atlanta,GA,US,30315,Bachelor's,Business Administration,2007-05-01 00:00:00,3,11.0,Yes,Yes,25
152300,1,Train,Cleveland,OH,US,44135,Bachelor's,Urban Studies,2011-01-01 00:00:00,0,,No,No,0
152393,1,Train,Phoenix,AZ,US,85006,Bachelor's,Business Administration,2010-01-01 00:00:00,0,,Yes,No,0
152473,1,Test,Auburn,WA,US,98092,Master's,Marine Biology,2007-01-01 00:00:00,10,11.0,No,No,0
152814,1,Train,Seattle,WA,US,98168,High School,GED,1997-04-01 00:00:00,5,7.0,,No,0
154624,1,Test,Saint Louis,MO,US,63110,,,,0,,No,Yes,10
155984,1,Test,Chesterton,IN,US,46304,PhD,law School,2003-01-01 00:00:00,4,13.0,Yes,Yes,101
157612,1,Test,Jacksonville,FL,US,32218,,,,9,21.0,Yes,No,0
158322,1,Test,Delray Beach,FL,US,33445,Associate's,Food and Beverage Management,2005-01-01 00:00:00,3,3.0,No,No,0
158333,1,Train,Chicago,IL,US,60601,,,,8,11.0,Yes,No,0
158338,1,Train,Grayson,GA,US,30017,High School,"Business Administration and Management, General",1971-05-01 00:00:00,6,38.0,No,No,0
158773,1,Test,Jonesboro,GA,US,30236,Master's,LEGAL STUDIES,2012-05-01 00:00:00,4,7.0,No,No,0
162323,1,Train,Hammonton,NJ,US,08037,Bachelor's,"Computer Programming, Networking, System Modeling Theory and business applications",2012-05-01 00:00:00,5,10.0,Yes,No,0
163455,1,Train,Los Angeles,CA,US,90037,,Medical,1997-01-01 00:00:00,10,12.0,No,No,0
163789,1,Train,Greenville,SC,US,29605,,,,1,2.0,,Yes,12
165806,1,Train,Decatur,GA,US,30034,Associate's,Management and Marketing,2012-06-01 00:00:00,9,13.0,Yes,No,0
166097,1,Train,Orlando,FL,US,32810,Associate's,Medical Assistant,2004-03-01 00:00:00,6,12.0,,No,0
170052,1,Train,Houston,TX,US,77027,Bachelor's,BS Business Administration,1977-01-01 00:00:00,6,11.0,Yes,No,0
170498,1,Train,Philadelphia,PA,US,19141,,,2009-01-01 00:00:00,6,8.0,Yes,Yes,10
171719,1,Train,Chicago,IL,US,60636,Bachelor's,Science Culinary Management,2012-03-01 00:00:00,5,14.0,No,No,0
172203,1,Train,Pompano Beach,FL,US,33064,,"Nursing/Registered Nurse (RN, ASN, BSN, MSN)",2014-06-01 00:00:00,7,15.0,Yes,Yes,5
172449,1,Test,Wilmington,DE,US,19809,High School,Not Applicable,1989-01-01 00:00:00,3,14.0,Yes,No,0
173078,1,Train,Valley Stream,NY,US,11581,Master's,General &amp; Special Education,2010-06-01 00:00:00,3,4.0,,No,0
173096,1,Train,Miami,FL,US,33169,Bachelor's,Health Education & Behavior,2007-05-01 00:00:00,6,4.0,,No,0
173238,1,Train,Riverdale,GA,US,30274,High School,Not Applicable,1992-01-01 00:00:00,4,9.0,Yes,Yes,10
173774,1,Train,Hollywood,FL,US,33021,High School,,2002-06-01 00:00:00,5,6.0,No,Yes,4
173987,1,Test,Orlando,FL,US,32817,,,,6,13.0,,No,0
180976,1,Train,Chicago,IL,US,60651,Bachelor's,,,6,9.0,Yes,Yes,40
181116,1,Train,Arlington,TX,US,76011,,,,0,,No,No,0
181738,1,Train,Fort Worth,TX,US,76140,,,,4,16.0,Yes,No,0
182009,1,Train,Bronx,NY,US,10466,Master's,Theology,2010-01-01 00:00:00,3,17.0,Yes,Yes,24
183303,1,Test,Kansas City,MO,US,64109,,"Political Science, and Instrumental Conducting",,7,10.0,Yes,Yes,10
184481,1,Train,Calumet City,IL,US,60409,Associate's,Travel and Tourism,,6,16.0,,No,0
184870,1,Test,Chicago,IL,US,60628,Bachelor's,Management,2004-12-01 00:00:00,2,6.0,Yes,No,0
186307,1,Train,Miami,FL,US,33130,Bachelor's,Arts/ Psychology,,6,14.0,Yes,No,0
187573,1,Train,Melrose Park,IL,US,60160,High School,Diploma,1998-06-01 00:00:00,8,17.0,Yes,Yes,25
188127,1,Train,Berwyn,IL,US,60402,Associate's,Business Marketing,,5,9.0,Yes,Yes,3
191224,1,Train,Chicago,IL,US,60637,High School,,1978-06-01 00:00:00,3,10.0,Yes,No,0
191765,1,Test,Kansas City,KS,US,66104,Associate's,Business Management,1993-05-01 00:00:00,5,14.0,No,Yes,5
192462,1,Test,Norcross,GA,US,30093,Master's,Accounting,1997-01-01 00:00:00,10,18.0,,No,0
193637,1,Test,Dallas,TX,US,75231,Bachelor's,Marketing & Criminology,1990-01-01 00:00:00,4,12.0,Yes,No,0
194431,1,Train,Bronx,NY,US,10455,,,,5,7.0,No,Yes,5
197266,1,Test,Cordova,TN,US,38016,Bachelor's,Marketing and General Business,1988-12-01 00:00:00,10,23.0,Yes,No,0
197729,1,Train,Dunwoody,GA,US,30338,,,,7,17.0,No,Yes,17
199710,1,Train,Phoenix,AZ,US,85040,,,,5,5.0,Yes,No,0
201107,1,Test,Cincinnati,OH,US,45227,Bachelor's,Funeral Director,2010-12-01 00:00:00,5,10.0,Yes,No,0
201168,1,Train,Maryville,MO,US,64468,Bachelor's,Telecommunications,2004-06-01 00:00:00,5,12.0,Yes,No,0
202031,1,Train,Cincinnati,OH,US,45247,High School,Not Applicable,,4,24.0,Yes,No,0
202664,1,Train,Midlothian,TX,US,76065,,Business,2005-04-01 00:00:00,6,15.0,Yes,No,0
203635,1,Train,Duncanville,TX,US,75116,,,,5,11.0,No,No,0
204305,1,Train,Milford,PA,US,18337,Bachelor's,,2011-01-01 00:00:00,5,13.0,Yes,No,0
204490,1,Train,Riverdale,MD,US,20737,Bachelor's,Business Technology,2011-12-01 00:00:00,3,6.0,Yes,No,0
204496,1,Train,Phoenix,AZ,US,85016,Associate's,Student Leadership Board,2004-05-01 00:00:00,3,5.0,,No,0
206062,1,Train,Elon,NC,US,27244,Bachelor's,Business Administration,2012-05-01 00:00:00,6,7.0,No,No,0
206637,1,Train,Orlando,FL,US,32833,Associate's,Sportswear Design,1981-06-01 00:00:00,9,31.0,Yes,Yes,25
207514,1,Train,Nashville,TN,US,37217,Bachelor's,Criminal Justice Administration,2011-12-01 00:00:00,5,12.0,Yes,No,0
208618,1,Train,Detroit,MI,US,48224,,Business/ Economics,,6,20.0,Yes,No,0
209424,1,Train,Dallas,TX,US,75232,,,2011-10-01 00:00:00,5,8.0,No,Yes,4
209616,1,Train,Raleigh,NC,US,27609,Bachelor's,"Business Management, Economics",2011-05-01 00:00:00,4,5.0,Yes,No,0
210053,1,Train,Dallas,TX,US,75236,High School,,2011-12-01 00:00:00,2,4.0,,No,0
210386,1,Test,Kansas City,MO,US,64127,,,,4,2.0,Yes,No,0
211014,1,Train,Los Angeles,CA,US,90019,Bachelor's,Liberal Studies,2010-05-01 00:00:00,4,2.0,Yes,No,0
211877,1,Train,Levittown,PA,US,19057,Bachelor's,Business Management ; Concentration in Human Resources,2012-04-01 00:00:00,4,5.0,Yes,No,0
213307,1,Train,Maypearl,TX,US,76064,High School,Not Applicable,1986-01-01 00:00:00,4,3.0,Yes,No,0
213665,1,Train,Upper Marlboro,MD,US,20774,Bachelor's,Audio Production,2014-09-01 00:00:00,3,9.0,No,No,0
214250,1,Train,Chicago,IL,US,60628,High School,"Mathematics, General",1986-08-01 00:00:00,4,5.0,No,No,0
215187,1,Train,Indianapolis,IN,US,46219,High School,,,3,14.0,Yes,No,0
216790,1,Train,Roseville,MI,US,48066,High School,Not Applicable,1999-01-01 00:00:00,4,7.0,No,Yes,2
218244,1,Train,Antioch,TN,US,37013,High School,Not Applicable,2001-05-01 00:00:00,7,13.0,Yes,Yes,35
218303,1,Train,Sacramento,CA,US,95827,,,,10,13.0,No,Yes,15
219050,1,Train,Riverside,CA,US,92507,Bachelor's,Electrical Engineering,,3,3.0,Yes,No,0
220302,1,Test,Newark,DE,US,19702,High School,Not Applicable,2007-01-01 00:00:00,1,1.0,,No,0
220721,1,Train,Arlington,TX,US,76006,High School,Not Applicable,2009-06-01 00:00:00,3,2.0,Yes,No,0
220905,1,Train,Glendora,CA,US,91741,High School,Not Applicable,2001-06-01 00:00:00,7,13.0,Yes,No,0
221340,1,Train,East Hartford,CT,US,06108,High School,Not Applicable,2005-06-01 00:00:00,2,1.0,,No,0
223099,1,Train,Tampa,FL,US,33616,Bachelor's,Marketing,2001-05-01 00:00:00,7,8.0,Yes,Yes,45
223298,1,Train,Phoenix,AZ,US,85044-6223,Associate's,"Business Administration and Management, General",1990-10-01 00:00:00,1,16.0,No,Yes,60
224140,1,Train,Plantation,FL,US,33324,Bachelor's,Computer Information Systems,2002-03-01 00:00:00,4,15.0,No,No,0
224385,1,Train,Big Spring,TX,US,79720,,,,8,23.0,Yes,No,0
228362,1,Test,Fort Worth,TX,US,76112,Associate's,Computer Network Systems,2011-03-01 00:00:00,3,2.0,No,No,0
228502,1,Train,Lutz,FL,US,33559,,Computer Systems Technology,2012-08-01 00:00:00,4,4.0,,No,0
229407,1,Train,Philadelphia,PA,US,19121,,Business Management,2009-09-01 00:00:00,3,6.0,,No,0
229637,1,Test,Gainesville,GA,US,30504,Associate's,Business Administration,2009-01-01 00:00:00,4,7.0,,No,0
231093,1,Test,Wilmington,CA,US,90744,High School,"Mathematics, General",1990-09-01 00:00:00,1,2.0,No,Yes,8
231600,1,Train,Suitland,MD,US,20746,High School,Not Applicable,2008-05-01 00:00:00,7,8.0,No,No,0
231730,1,Test,Boca Raton,FL,US,33433,Bachelor's,Sociology,,8,25.0,No,No,0
232076,1,Test,Buffalo,NY,US,14207,Associate's,Benefits Option,2000-05-01 00:00:00,4,18.0,Yes,Yes,3
232106,1,Train,Windsor Locks,CT,US,06096,,Business Administration,2004-01-01 00:00:00,2,12.0,No,Yes,3
232149,1,Test,Fort Worth,TX,US,76106,High School,General Studies,2001-05-01 00:00:00,4,5.0,,No,0
232459,1,Train,Grand Prairie,TX,US,75052,Bachelor's,Business,2012-04-01 00:00:00,4,10.0,No,No,0
232585,1,Test,Mansfield,TX,US,76063,High School,Not Applicable,2005-05-01 00:00:00,6,7.0,Yes,No,0
234345,1,Train,Houston,TX,US,77044,Associate's,Kyocera Technology,1997-05-01 00:00:00,5,13.0,No,Yes,30
235023,1,Test,Converse,IN,US,46919,Vocational,,2006-05-01 00:00:00,1,2.0,Yes,Yes,8
236713,1,Train,Detroit,MI,US,48219,Associate's,Business Administration,2012-01-01 00:00:00,4,11.0,No,No,0
238011,1,Train,Fairview,TN,US,37062,High School,High school,1995-05-01 00:00:00,4,11.0,No,No,0
238725,1,Test,Lake Mary,FL,US,32746,Bachelor's,Political Science,1996-01-01 00:00:00,8,15.0,No,No,0
238871,1,Test,Wichita,KS,US,67217,High School,,2011-12-01 00:00:00,1,1.0,No,No,0
239326,1,Train,Ellenwood,GA,US,30294,,,,9,19.0,,Yes,12
239751,1,Test,Newark,NJ,US,07112,Bachelor's,,,2,6.0,Yes,No,0
239760,1,Train,Valley Springs,CA,US,95252,Master's,,2000-01-01 00:00:00,4,29.0,Yes,No,0
239969,1,Train,Saginaw,MI,US,48601,Bachelor's,Criminal Justice,2012-12-01 00:00:00,4,5.0,Yes,No,0
240788,1,Train,Atlanta,GA,US,30354,High School,Not Applicable,2007-01-01 00:00:00,2,3.0,Yes,Yes,25
241452,1,Train,Lithonia,GA,US,30038,High School,Not Applicable,1997-01-01 00:00:00,5,14.0,Yes,Yes,75
244488,1,Train,Brooklyn,NY,US,11203,High School,Not Applicable,,6,10.0,No,No,0
244880,1,Train,Chicago,IL,US,60630,Master's,Finance,2012-03-01 00:00:00,3,9.0,No,Yes,4
244954,1,Train,Lansdale,PA,US,19446,Master's,accounting and Financial Management,2011-08-01 00:00:00,1,1.0,,No,0
246284,1,Test,Dallas,TX,US,75287,,,,3,2.0,Yes,No,0
246696,1,Test,Tolleson,AZ,US,85353,,,,4,7.0,No,Yes,7
247608,1,Train,Chicago,IL,US,60637,,Anatomy and Physiology and Medical Terminology,,2,3.0,No,No,0
248290,1,Train,Howard Beach,NY,US,11414,Vocational,Networking and Security,2007-01-01 00:00:00,2,5.0,Yes,Yes,5
250237,1,Train,Cincinnati,OH,US,45223,High School,Required Academics,2005-05-01 00:00:00,4,3.0,Yes,Yes,6
250257,1,Train,Bloomfield,CT,US,06002,Vocational,Manufacturing Technology,2011-12-01 00:00:00,6,12.0,,No,0
250405,1,Train,Anderson,IN,US,46016,Associate's,Computer Programming,2003-01-01 00:00:00,4,19.0,Yes,No,0
250892,1,Test,Fort Worth,TX,US,76123,Associate's,Computer and Electronics Engineering Technology,,2,3.0,No,No,0
251548,1,Test,Edgewater Park,NJ,US,08010,,,2005-01-01 00:00:00,7,9.0,Yes,No,0
252297,1,Train,Pompano Beach,FL,US,33064,High School,Not Applicable,2003-06-01 00:00:00,3,7.0,Yes,No,0
252341,1,Train,Pasadena,CA,US,91104,Master's,Psychology,2005-06-01 00:00:00,5,23.0,No,Yes,15
252411,1,Train,Homestead,FL,US,33034,High School,,2003-06-01 00:00:00,4,11.0,No,Yes,4
252681,1,Train,Glendale,AZ,US,85301,Associate's,Accounting,2004-03-01 00:00:00,4,3.0,No,No,0
252796,1,Train,Tampa,FL,US,33624,Bachelor's,Accounting,,10,14.0,No,No,0
253060,1,Train,Riverdale,GA,US,30274,Master's,Accounting/Finance,2011-10-01 00:00:00,6,6.0,Yes,No,0
253191,1,Train,Charlotte,NC,US,28224,Associate's,,2011-08-01 00:00:00,3,9.0,No,No,0
253724,1,Train,Chicago,IL,US,60619,Master's,Clinical Psychology,,6,4.0,No,No,0
255422,1,Test,Salem,NH,US,03079,Bachelor's,,2000-05-01 00:00:00,5,11.0,,No,0
256813,1,Train,Chicago Heights,IL,US,60411,Bachelor's,Electronic and Computer Engineering,2012-12-01 00:00:00,8,22.0,Yes,No,0
258581,1,Test,Mattapan,MA,US,02126,Bachelor's,Business,1987-05-01 00:00:00,6,7.0,No,No,0
260246,1,Train,Dawsonville,GA,US,30534,,,,9,20.0,Yes,No,0
260538,1,Train,Independence,MO,US,64056,,,,3,5.0,No,No,0
261978,1,Train,Plainfield,IL,US,60586,High School,Not Applicable,,3,3.0,Yes,No,0
263264,1,Train,Houston,TX,US,77085,,Health Care Administration,2011-09-01 00:00:00,5,10.0,Yes,No,0
263832,1,Train,Columbia,SC,US,29229,,,,5,7.0,No,Yes,15
264549,1,Train,Dover,DE,US,19901,High School,Not Applicable,2009-10-01 00:00:00,4,6.0,No,No,0
264585,1,Train,Bedford,TX,US,76021,,Medical Assistant,2009-08-01 00:00:00,1,1.0,No,No,0
264880,1,Train,Paterson,NJ,US,07503,Bachelor's,Criminal Justice/ sociology,2005-12-01 00:00:00,4,10.0,No,No,0
265749,1,Test,Suitland,MD,US,20746,,,,0,,,No,0
265804,1,Test,Houston,TX,US,77078,Vocational,Transportation,2004-10-01 00:00:00,10,19.0,Yes,No,0
266683,1,Train,Franklin,IN,US,46131,Bachelor's,Mechanical Drives,,3,0.0,No,Yes,5
266993,1,Train,Martinsville,IN,US,46151,Associate's,Applied Science,1970-01-01 00:00:00,1,6.0,No,No,0
